"","medal","beer_name","brewery","city","state","category","year"
"791","Silver","Ringmaster Raspberry Berliner","Big Top Brewing Co.","Sarasota","FL","Berliner-Style Weisse",2017
"792","Bronze","Blackberry Table Sour","Baere Brewing Co.","Denver","CO","Berliner-Style Weisse",2017
"793","Gold","Low Boy","On Tour Brewing Co.","Chicago","IL","Bock",2017
"794","Silver","Rock Out with Maibock Out","Hailstorm Brewing Co.","Tinley Park","IL","Bock",2017
"795","Bronze","Mountain Series: Maibock","Breckenridge Brewery","Littleton","CO","Bock",2017
"796","Gold","Velvet Revolution","The Austin Beer Garden Brewing Co.","Austin","TX","Bohemian-Style Pilsener",2017
"797","Silver","Bohemian Pilsener","TAPS Fish House and Brewery - Corona","Corona","CA","Bohemian-Style Pilsener",2017
"798","Bronze","Torch Pilsner","Foothills Brewing Co.","Winston - Salem","NC","Bohemian-Style Pilsener",2017
"799","Gold","Fancy Pants","Jessup Farm Barrel House","Fort Collins","CO","Brett Beer",2017
"800","Silver","Saison Trystero","Our Mutual Friend Brewing","Denver","CO","Brett Beer",2017
"801","Bronze","Touch of Brett Mosaic","Alesong Brewing & Blending","Eugene","OR","Brett Beer",2017
"802","Gold","Porter","Back East Brewing","Bloomfield","CT","Brown Porter",2017
"803","Silver","Pinch Hit Porter","Stadium Pizza Main St.","Lake Elsinore","CA","Brown Porter",2017
"804","Bronze","Man Full of Trouble","Dock Street Brewery","Philadelphia","PA","Brown Porter",2017
"805","Bronze","Dia de los Mangos","Beachwood Blendery","Long Beach","CA","Chili Beer",2017
"806","Gold","Imperial Smoked Porter With Cacao Nibs","Joseph James Brewing Co.","Henderson","NV","Chocolate Beer",2017
"807","Silver","Aphrodisiac Chocolate Pomegranate Imperial Stout","Cranker's Brewery","Big Rapids","MI","Chocolate Beer",2017
"808","Bronze","Tears of My Enemies","Monday Night Brewing","Atlanta","GA","Chocolate Beer",2017
"809","Gold","Mr. Kite's Pale Ale","Social Kitchen & Brewery","San Francisco","CA","Classic English-Style Pale Ale",2017
"810","Silver","Extra Pale Ale","Summit Brewing Co.","Saint Paul","MN","Classic English-Style Pale Ale",2017
"811","Gold","Bearded Seal","Pinthouse Pizza North","Austin","TX","Classic Irish-Style Dry Stout",2017
"812","Silver","Sheehan's Stout","Rockford Brewing Co.","Rockford","MI","Classic Irish-Style Dry Stout",2017
"813","Bronze","Boulder Stout","PT's Brewing Co.","Las Vegas","NV","Classic Irish-Style Dry Stout",2017
"814","Gold","Saison","Funkwerks","Fort Collins","CO","Classic Saison",2017
"815","Silver","Matisse","Night Shift Brewing","Everett","MA","Classic Saison",2017
"816","Bronze","One Arm Farmhouse Ale","Hobbs Tavern & Brewing Co.","West Ossipee","NH","Classic Saison",2017
"817","Gold","Heritage Coffee Brown Ale","Alaskan Brewing Co.","Juneau","AK","Coffee Beer",2017
"818","Silver","It's 8 O'clock Somewhere","Torched Hop Brewing Co.","Atlanta","GA","Coffee Beer",2017
"819","Bronze","Stony Joe","Stony Creek Brewery","Branford","CT","Coffee Beer",2017
"820","Silver","Udder Chaos","RAM/Big Horn Brewery - Seattle","Seattle","WA","Coffee Stout or Porter",2017
"821","Bronze","Kawi","Currahee Brewing Co.","Franklin","NC","Coffee Stout or Porter",2017
"822","Gold","Mischievous Black","Six Ten Brewing","Tampa","FL","Dark Lager",2017
"823","Silver","DTB Schwarzbier","Desperate Times Brewing Co.","Carlisle","PA","Dark Lager",2017
"824","Bronze","Lighter Than I Look","Figueroa Mountain Brewing","Buellton","CA","Dark Lager",2017
"825","Bronze","Northtown Native","Cinder Block Brewery","North Kansas City","MO","Dortmunder or German-Style Oktoberfest",2017
"826","Gold","Hop Donkey","Auburn Alehouse","Auburn","CA","Double Red Ale",2017
"827","Silver","St. James","Coldfire Brewing","Eugene","OR","Double Red Ale",2017
"828","Bronze","Midwest Red IPA","Masthead Brewing Co.","Cleveland","OH","Double Red Ale",2017
"829","Bronze","Rogue River Brown","Rockford Brewing Co.","Rockford","MI","English-Style Brown Ale",2017
"830","Gold","Punjabi","CooperSmith's Pub & Brewing","Fort Collins","CO","English-Style India Pale Ale",2017
"831","Silver","Hoppy Poppy IPA","Figueroa Mountain Brewing","Buellton","CA","English-Style India Pale Ale",2017
"832","Bronze","Jacaranda Rye IPA","Claremont Craft Ales","Claremont","CA","English-Style India Pale Ale",2017
"833","Gold","Hold the Reins","Brink Brewing Co.","Cincinnati","OH","English-Style Mild Ale",2017
"834","Silver","Mamoot English Mild","Logboat Brewing Co.","Columbia","MO","English-Style Mild Ale",2017
"835","Bronze","Nemo","Bonn Place Brewing","Bethlehem","PA","English-Style Mild Ale",2017
"836","Gold","Organic California Blonde Ale","Eel River Brewing Co.","Fortuna","CA","English-Style Summer Ale",2017
"837","Silver","Back In The ESSA","Monkey Paw Brewing","San Diego","CA","English-Style Summer Ale",2017
"838","Silver","Roswell: Grudge","Black Project Spontaneous & Wild Ales","Denver","CO","Experimental Beer",2017
"839","Bronze","Hot Pink","Four Day Ray Brewing","Fishers","IN","Experimental Beer",2017
"840","Gold","Correspondent","Wander Brewing","Bellingham","WA","Export Stout",2017
"841","Silver","Z-Man Stout","Pizza Port Carlsbad","Carlsbad","CA","Export Stout",2017
"842","Silver","Extra Special Ale","Yards Brewing Co.","Philadelphia","PA","Extra Special Bitter",2017
"843","Bronze","Holler ESB","Holler Brewing Co.","Houston","TX","Extra Special Bitter",2017
"844","Gold","C Porter","LauderAle","Fort Lauderdale","FL","Field Beer",2017
"845","Silver","No Crusts","Funky Buddha Brewery","Fort Lauderdale","FL","Field Beer",2017
"846","Bronze","Spa Water Saison","Ohana Brewing Co.","Los Angeles","CA","Field Beer",2017
"847","Gold","Wet Hop Melvin","Melvin Brewing Co.","Alpine","WY","Fresh or Wet Hop Ale",2017
"848","Gold","Sierra Blanca Cherry Wheat","Sierra Blanca Brewing Co.","Moriarty","NM","Fruit Wheat Beer",2017
"849","Silver","Purple Line","Smylie Brothers Brewing Co.","Evanston","IL","Fruit Wheat Beer",2017
"850","Bronze","Paradise Now","Trim Tab Brewing","Birmingham","AL","Fruit Wheat Beer",2017
"851","Silver","Sour Wench Blackberry Ale","Ballast Point Brewing Co. - Home Brew Mart","San Diego","CA","Fruited American-Style Sour Ale",2017
"852","Bronze","Breakside Passionfruit Sour Ale","Breakside Brewery & Taproom","Milwaukie","OR","Fruited American-Style Sour Ale",2017
"853","Gold","Zoned AG Apricot","Corralitos Brewing Co.","Watsonville","CA","Fruited Wood- and Barrel-Aged Sour Beer",2017
"854","Silver","BA Excommunication","Max Lager's Wood-Fired Grill & Brewery","Atlanta","GA","Fruited Wood- and Barrel-Aged Sour Beer",2017
"855","Bronze","Riserva","Weyerbacher Brewing Co.","Easton","PA","Fruited Wood- and Barrel-Aged Sour Beer",2017
"856","Gold","Glacier Ale","Red Lodge Ales Brewing Co.","Red Lodge","MT","German-Style Altbier",2017
"857","Silver","It's Your Fault","Piece Brewery","Chicago","IL","German-Style Altbier",2017
"858","Bronze","Little Red Cap","Grimm Brothers Brewhouse","Loveland","CO","German-Style Altbier",2017
"859","Gold","Wobblor","Crooked Lane Brewing Co.","Auburn","CA","German-Style Doppelbock or Eisbock",2017
"860","Bronze","Goldie's Big Bock","Lonerider Brewing Co.","Raleigh","NC","German-Style Doppelbock or Eisbock",2017
"861","Gold","Chuckanut Kolsch Style","Chuckanut Brewery","Bellingham","WA","German-Style Koelsch",2017
"862","Silver","Seafarer","Three Weavers Brewing Co.","Inglewood","CA","German-Style Koelsch",2017
"863","Gold","Asheville Lager","Wedge Brewing Co.","Asheville","NC","German-Style Maerzen",2017
"864","Silver","Oktoberfest","Rahr & Sons Brewing Co.","Fort Worth","TX","German-Style Maerzen",2017
"865","Bronze","Oktoberfest","Beaver Island Brewing Co.","Saint Cloud","MN","German-Style Maerzen",2017
"866","Gold","Zoigl-Pils","Zoiglhaus Brewing Co.","Portland","OR","German-Style Pilsener",2017
"867","Silver","Pilsner","Dry Dock Brewing Co. - South Dock","Aurora","CO","German-Style Pilsener",2017
"868","Bronze","Pivo","Firestone Walker Brewing Co.","Paso Robles","CA","German-Style Pilsener",2017
"869","Gold","AlpenGlow","Fat Head's Brewery & Saloon","North Olmsted","OH","German-Style Wheat Ale",2017
"870","Silver","Hidden Gem","OB Brewery","San Diego","CA","German-Style Wheat Ale",2017
"871","Bronze","Saint Arnold Weedwacker","Saint Arnold Brewing Co.","Houston","TX","German-Style Wheat Ale",2017
"872","Gold","Dark Ale","Ground Breaker Brewing","Portland","OR","Gluten-Free Beer",2017
"873","Silver","Meteor Shower Blonde Ale","Ghostfish Brewing Co.","Seattle","WA","Gluten-Free Beer",2017
"874","Gold","Boone Creek Blonde","Appalachian Mountain Brewery - Portsmouth","Portsmouth","NH","Golden or Blonde Ale",2017
"875","Silver","Firemans 4","Real Ale Brewing Co.","Blanco","TX","Golden or Blonde Ale",2017
"876","Bronze","Blonde","Culture Brewing Co.","Solana Beach","CA","Golden or Blonde Ale",2017
"877","Bronze","India Spring Honey Cream Ale","Broken Plow Brewery","Greeley","CO","Herb and Spice Beer",2017
"878","Silver","Hilltopper's Pride Kentucky Common Ale","Ironworks Brewery & Pub","Lakewood","CO","Historical Beer",2017
"879","Bronze","Spring Gruit","The BottleHouse Brewery And Meadery","Cleveland","OH","Historical Beer",2017
"880","Gold","Orange Blossom Common","Karl Strauss Brewing Co. - Carlsbad","Carlsbad","CA","Honey Beer",2017
"881","Silver","Jetty Ale","Great South Bay Brewery","Bay Shore","NY","Honey Beer",2017
"882","Gold","Manta Ray","Ballast Point Brewing Co.","San Diego","CA","Imperial India Pale Ale",2017
"883","Silver","Lupulin River","Knee Deep Brewing Co.","Auburn","CA","Imperial India Pale Ale",2017
"884","Bronze","Chux","Danville Brewing Co.","Danville","CA","Imperial India Pale Ale",2017
"885","Gold","Cinder Beast","Sunriver Brewing","Sunriver","OR","Imperial Red Ale",2017
"886","Silver","Hop Zombie","Lone Tree Brewing Co.","Lone Tree","CO","Imperial Red Ale",2017
"887","Bronze","Jagged Shard","Boise Brewing","Boise","ID","Imperial Red Ale",2017
"888","Gold","The Russian","2SP Brewing Co.","Aston","PA","Imperial Stout",2017
"889","Silver","Russian Imperial Stout","Iron Hill Brewery & Restaurant - Media","Media","PA","Imperial Stout",2017
"890","Bronze","Duke Snider's Imperial Stout","Walking Tree Brewery","Vero Beach","FL","Imperial Stout",2017
"891","Silver","Bomber Mountain","Black Tooth Brewing Co.","Sheridan","WY","Irish-Style Red Ale",2017
"892","Bronze","Riley's Irish Red","Packinghouse Brewing Co.","Riverside","CA","Irish-Style Red Ale",2017
"893","Gold","Zwickelbier","Red Rock Brewing Co. - Production","Salt Lake City","UT","Kellerbier or Zwickelbier",2017
"894","Bronze","Pilsner","Marble Brewery - Production","Albuquerque","NM","Kellerbier or Zwickelbier",2017
"895","Gold","Mermaid's Scorn","Benchtop Brewing Co.","Norfolk","VA","Leipzig-Style Gose or Contemporary Gose",2017
"896","Bronze","Passionfruit Gose","Perrin Brewing Co.","Comstock Park","MI","Leipzig-Style Gose or Contemporary Gose",2017
"897","Gold","Super Awesome Lager","Austin Beerworks","Austin","TX","Light Lager",2017
"898","Bronze","Sun Grown","Sycamore Brewing","Charlotte","NC","Light Lager",2017
"899","Silver","10 Buck Chuck","Firestone Walker Barrelworks","Buellton","CA","Mixed-Culture Brett Beer",2017
"900","Bronze","CBC & Jester King's Cor Cordium","Cambridge Brewing Co.","Cambridge","MA","Mixed-Culture Brett Beer",2017
"901","Gold","Chuckanut Dunkel","Chuckanut Brewery","Bellingham","WA","Munich-Style Dunkel or European-Style Dark Lager",2017
"902","Silver","Moondoor Dunkel","Wibby Brewing","Longmont","CO","Munich-Style Dunkel or European-Style Dark Lager",2017
"903","Gold","Penn Gold","Pennsylvania Brewing Co.","Pittsburgh","PA","Munich-Style Helles",2017
"904","Silver","Solar","Sanctum Brewing Co.","Pomona","CA","Munich-Style Helles",2017
"905","Bronze","Munich Light","Emmett's Brewing Co. - Wheaton","Wheaton","IL","Munich-Style Helles",2017
"906","Gold","Wall of Sound","Stereo Brewing Co.","Placentia","CA","Oatmeal Stout",2017
"907","Silver","The Ferguson","Studio Brew","Bristol","VA","Oatmeal Stout",2017
"908","Bronze","Fat Pug","Maplewood Brewing Co.","Chicago","IL","Oatmeal Stout",2017
"909","Bronze","Pilgrim's Dole","New Holland Brewing Co.","Holland","MI","Old Ale or Strong Ale",2017
"910","Gold","Three Tun","Brew Hub","Lakeland","FL","Ordinary or Special Bitter",2017
"911","Silver","Mooey","Bonn Place Brewing","Bethlehem","PA","Ordinary or Special Bitter",2017
"912","Bronze","Saint Arnold Amber Ale","Saint Arnold Brewing Co.","Houston","TX","Ordinary or Special Bitter",2017
"913","Gold","Witty Moron","Stone Brewing World Bistro & Gardens - Liberty Station","San Diego","CA","Other Belgian-Style Ale",2017
"914","Silver","Lux Mundi","Save the World Brewing Co.","Marble Falls","TX","Other Belgian-Style Ale",2017
"915","Bronze","Cousin Stoopid","Stickman Brews","Royersford","PA","Other Belgian-Style Ale",2017
"916","Gold","Imperial Cream Ale","Nexus Brewery","Albuquerque","NM","Other Strong Beer",2017
"917","Bronze","Antwerp's Placebo","Batch Brewing Co.","Detroit","MI","Other Strong Beer",2017
"918","Gold","Just Another Pretty Face","Denver Beer Co.","Denver","CO","Pro-Am",2017
"919","Silver","Lichtenhainer","Black Bottle Brewery","Fort Collins","CO","Pro-Am",2017
"920","Gold","Just Another Pretty Face","Denver Beer Co.","Denver","CO","Proam",2017
"921","Silver","Lichtenhainer","Black Bottle Brewery","Fort Collins","CO","Proam",2017
"922","Bronze","Eluxansis","Odell Brewing Co.","Fort Collins","CO","Proam",2017
"923","Gold","Saint Arnold Pumpkinator","Saint Arnold Brewing Co.","Houston","TX","Pumpkin/Squash Beer or Pumpkin Spice Beer",2017
"924","Silver","Pumpkin Ale","Schlafly Beer/The Saint Louis Brewery","Saint Louis","MO","Pumpkin/Squash Beer or Pumpkin Spice Beer",2017
"925","Bronze","5 Phantoms Pumpkin Spice Barleywine","Philipsburg Brewing Co.","Philipsburg","MT","Pumpkin/Squash Beer or Pumpkin Spice Beer",2017
"926","Gold","Tabula Rasa Toasted Porter","Second Chance Beer Co.","San Diego","CA","Robust Porter",2017
"927","Bronze","JFP","Rivertowne Pour House","Monroeville","PA","Robust Porter",2017
"928","Gold","Unite the Clans","Third Space Brewing","Milwaukee","WI","Rye Beer",2017
"929","Silver","Nighthawk Rye Pale Ale","Packinghouse Brewing Co.","Riverside","CA","Rye Beer",2017
"930","Bronze","Breakside Rye Curious?","Breakside Brewery","Portland","OR","Rye Beer",2017
"931","Gold","Real Heavy","Real Ale Brewing Co.","Blanco","TX","Scotch Ale",2017
"932","Silver","Duck-Rabbit Wee Heavy Scotch Style Ale","Duck-Rabbit Craft Brewery","Farmville","NC","Scotch Ale",2017
"933","Bronze","AleSmith Wee Heavy","AleSmith Brewing Co.","San Diego","CA","Scotch Ale",2017
"934","Gold","Taildragger's Clan-Destine","Saddle Mountain Brewing Co.","Goodyear","AZ","Scottish-Style Ale",2017
"935","Silver","McGarveys Scottish Ale","Oggi's Sports Brewhouse Pizza","San Clemente","CA","Scottish-Style Ale",2017
"936","Bronze","Heavy 80 Scotch Ale","Coal Creek TAP","Laramie","WY","Scottish-Style Ale",2017
"937","Gold","Guillaume","Pizza Port Ocean Beach","San Diego","CA","Session Beer",2017
"938","Silver","Peacekeeper","Launch Pad Brewery","Aurora","CO","Session Beer",2017
"939","Bronze","Stonefly Session Ale","Three Creeks Brewing Co.","Sisters","OR","Session Beer",2017
"940","Gold","Rome City IPA","Brew Hub","Lakeland","FL","Session India Pale Ale",2017
"941","Gold","So long and thank's for all the (smoked) fish!","The Sandlot Brewery at Coors Field","Denver","CO","Smoke Beer",2017
"942","Silver","Smoke on the Lager","Chilly Water Brewing Co.","Indianapolis","IN","Smoke Beer",2017
"943","Bronze","Croydon is Burning","Neshaminy Creek Brewing Co.","Croydon","PA","Smoke Beer",2017
"944","Gold","Hefeweizen","Gordon Biersch Brewery Restaurant - Navy Yard","Broomfield","CO","South German-Style Hefeweizen",2017
"945","Bronze","Hornet's Nest","The Olde Mecklenburg Brewery","Charlotte","NC","South German-Style Hefeweizen",2017
"946","Gold","Barrel Aged Sweet Potato SoufflC3=A9 Rye<=/","Odd Side Ales","Grand Haven","MI","Specialty Beer",2017
"947","Bronze","Agavamente","SouthNorte Beer Co.","San Diego","CA","Specialty Beer",2017
"948","Gold","Rye Saison","Base Camp Brewing Co.","Portland","OR","Specialty Saison",2017
"949","Silver","Make Hay","Cellar West Artisan Ales","Boulder","CO","Specialty Saison",2017
"950","Bronze","Farmhouse Saison","CO-Brew","Denver","CO","Specialty Saison",2017
"951","Gold","Oatmeal Milk Stout","Finkel & Garf Brewing Co.","Boulder","CO","Sweet Stout or Cream Stout",2017
"952","Silver","Milk Bone","Pinellas Ale Works","Saint Petersburg","FL","Sweet Stout or Cream Stout",2017
"953","Bronze","McPoyle","Mile Wide Beer Co.","Louisville","KY","Sweet Stout or Cream Stout",2017
"954","Gold","Gustav","Taft's Ale House","Cincinnati","OH","Vienna-Style Lager",2017
"955","Silver","Vienna Lager","Lost Forty Brewing","Little Rock","AR","Vienna-Style Lager",2017
"956","Bronze","Dock Time","Stony Creek Brewery","Branford","CT","Vienna-Style Lager",2017
"957","Gold","Porter Aged on Palo Santo Wood","Spellbound Brewing","Mount Holly","NJ","Wood- and Barrel-Aged Beer",2017
"958","Silver","Magpie Muckle","Sun King Brewing Co.","Indianapolis","IN","Wood- and Barrel-Aged Beer",2017
"959","Bronze","Woody Pils","Bull & Bush Brewery","Denver","CO","Wood- and Barrel-Aged Beer",2017
"960","Gold","Plum Creek Sour","Rockyard American Grill & Brewing Co.","Castle Rock","CO","Wood- and Barrel-Aged Sour Beer",2017
"961","Silver","Train to Beersel","Bruery Terreux","Anaheim","CA","Wood- and Barrel-Aged Sour Beer",2017
"962","Bronze","5th Anniversary Tequila Sour","Loveland Aleworks","Loveland","CO","Wood- and Barrel-Aged Sour Beer",2017
"963","Gold","Hurly Burly Port Barrel Aged Barleywine","Out of Bounds Brewing Co.","Rocklin","CA","Wood- and Barrel-Aged Strong Beer",2017
"964","Bronze","Barrel Aged Barleywine","Charleville Vineyard & Microbrewery","Sainte Genevieve","MO","Wood- and Barrel-Aged Strong Beer",2017
"965","Gold","Medianoche","WeldWerks Brewing Co.","Greeley","CO","Wood- and Barrel-Aged Strong Stout",2017
